4.845984e-05 1.647540e+06 1.647540e+06  9.999998e-01  -5.099710e+10 -7.796305e-06  -2.526747e-05  
4.896766e-05 1.621978e+06 1.621978e+06  9.999998e-01  -4.968519e+10 -8.061679e-06  -2.565716e-05  
4.948080e-05 1.596812e+06 1.596812e+06  9.999998e-01  -4.840703e+10 -8.331441e-06  -2.604862e-05  
4.999933e-05 1.572037e+06 1.572037e+06  9.999998e-01  -4.716176e+10 -8.604448e-06  -2.644361e-05  
5.052328e-05 1.547646e+06 1.547646e+06  9.999998e-01  -4.594851e+10 -8.882822e-06  -2.683930e-05  
5.105273e-05 1.523633e+06 1.523633e+06  9.999998e-01  -4.476648e+10 -9.164113e-06  -2.723914e-05  
5.158772e-05 1.499993e+06 1.499994e+06  9.999998e-01  -4.361485e+10 -9.450663e-06  -2.764013e-05  
5.212833e-05 1.476720e+06 1.476720e+06  9.999998e-01  -4.249285e+10 -9.740735e-06  -2.804463e-05  
5.267459e-05 1.453808e+06 1.453808e+06  9.999998e-01  -4.139972e+10 -1.003519e-05  -2.845168e-05  
5.322658e-05 1.431252e+06 1.431252e+06  9.999998e-01  -4.033470e+10 -1.033413e-05  -2.886122e-05  
5.378436e-05 1.409045e+06 1.409045e+06  9.999998e-01  -3.929709e+10 -1.063664e-05  -2.927452e-05  
5.434798e-05 1.387183e+06 1.387183e+06  9.999997e-01  -3.828616e+10 -1.094454e-05  -2.968944e-05  
5.491751e-05 1.365660e+06 1.365660e+06  9.999998e-01  -3.730125e+10 -1.125567e-05  -3.010871e-05  
5.549300e-05 1.344471e+06 1.344472e+06  9.999997e-01  -3.634167e+10 -1.157223e-05  -3.052982e-05  
5.607453e-05 1.323611e+06 1.323611e+06  9.999997e-01  -3.540677e+10 -1.189252e-05  -3.095486e-05  
5.666215e-05 1.303075e+06 1.303075e+06  9.999997e-01  -3.449593e+10 -1.221746e-05  -3.138290e-05  
5.725593e-05 1.282857e+06 1.282857e+06  9.999997e-01  -3.360851e+10 -1.254703e-05  -3.181402e-05  
5.785593e-05 1.262953e+06 1.262953e+06  9.999997e-01  -3.274393e+10 -1.288050e-05  -3.224916e-05  
5.846221e-05 1.243357e+06 1.243358e+06  9.999997e-01  -3.190158e+10 -1.321947e-05  -3.268667e-05  
5.907485e-05 1.224066e+06 1.224066e+06  9.999997e-01  -3.108091e+10 -1.356198e-05  -3.312876e-05  
5.969391e-05 1.205074e+06 1.205074e+06  9.999996e-01  -3.028135e+10 -1.391014e-05  -3.357331e-05  
6.031946e-05 1.186377e+06 1.186377e+06  9.999997e-01  -2.950236e+10 -1.426227e-05  -3.402215e-05  
6.095157e-05 1.167969e+06 1.167970e+06  9.999996e-01  -2.874340e+10 -1.461934e-05  -3.447443e-05  
6.159029e-05 1.149848e+06 1.149848e+06  9.999996e-01  -2.800398e+10 -1.498123e-05  -3.493031e-05  
6.223572e-05 1.132007e+06 1.132008e+06  9.999996e-01  -2.728357e+10 -1.534738e-05  -3.539050e-05  
6.288790e-05 1.114444e+06 1.114444e+06  9.999996e-01  -2.658169e+10 -1.571917e-05  -3.585370e-05  
6.354692e-05 1.097153e+06 1.097153e+06  9.999996e-01  -2.589788e+10 -1.609486e-05  -3.632176e-05  
6.421284e-05 1.080130e+06 1.080130e+06  9.999996e-01  -2.523165e+10 -1.647643e-05  -3.679282e-05  
6.488575e-05 1.063371e+06 1.063371e+06  9.999996e-01  -2.458256e+10 -1.686226e-05  -3.726855e-05  
6.556570e-05 1.046872e+06 1.046873e+06  9.999996e-01  -2.395017e+10 -1.725333e-05  -3.774812e-05  
6.625278e-05 1.030629e+06 1.030630e+06  9.999995e-01  -2.333405e+10 -1.764947e-05  -3.823180e-05  
6.694706e-05 1.014639e+06 1.014639e+06  9.999995e-01  -2.273378e+10 -1.805023e-05  -3.872010e-05  
6.764862e-05 9.988961e+05 9.988966e+05  9.999995e-01  -2.214895e+10 -1.845683e-05  -3.921200e-05  
6.835753e-05 9.833978e+05 9.833983e+05  9.999995e-01  -2.157916e+10 -1.886770e-05  -3.970905e-05  
6.907386e-05 9.681399e+05 9.681404e+05  9.999995e-01  -2.102403e+10 -1.928472e-05  -4.020962e-05  
6.979771e-05 9.531187e+05 9.531192e+05  9.999995e-01  -2.048319e+10 -1.970633e-05  -4.071524e-05  
7.052914e-05 9.383306e+05 9.383311e+05  9.999994e-01  -1.995625e+10 -2.013351e-05  -4.122513e-05  
7.126823e-05 9.237719e+05 9.237725e+05  9.999994e-01  -1.944288e+10 -2.056603e-05  -4.173960e-05  
7.201507e-05 9.094392e+05 9.094397e+05  9.999994e-01  -1.894270e+10 -2.100357e-05  -4.225904e-05  
7.276973e-05 8.953287e+05 8.953293e+05  9.999994e-01  -1.845540e+10 -2.144718e-05  -4.278262e-05  
7.353231e-05 8.814373e+05 8.814378e+05  9.999994e-01  -1.798063e+10 -2.189545e-05  -4.331169e-05  
7.430287e-05 8.677613e+05 8.677619e+05  9.999993e-01  -1.751808e+10 -2.235019e-05  -4.384478e-05  
7.508151e-05 8.542976e+05 8.542981e+05  9.999994e-01  -1.706742e+10 -2.280986e-05  -4.438332e-05  
7.586831e-05 8.410427e+05 8.410433e+05  9.999993e-01  -1.662836e+10 -2.327547e-05  -4.492657e-05  
7.666335e-05 8.279935e+05 8.279941e+05  9.999993e-01  -1.620059e+10 -2.374673e-05  -4.547486e-05  
7.746673e-05 8.151468e+05 8.151474e+05  9.999993e-01  -1.578383e+10 -2.422342e-05  -4.602850e-05  
7.827852e-05 8.024994e+05 8.025000e+05  9.999993e-01  -1.537779e+10 -2.470648e-05  -4.658681e-05  
7.909882e-05 7.900482e+05 7.900488e+05  9.999993e-01  -1.498219e+10 -2.519460e-05  -4.715098e-05  
7.992772e-05 7.777902e+05 7.777908e+05  9.999992e-01  -1.459677e+10 -2.568955e-05  -4.771968e-05  
8.076531e-05 7.657224e+05 7.657230e+05  9.999992e-01  -1.422127e+10 -2.618979e-05  -4.829424e-05  
8.161167e-05 7.538418e+05 7.538424e+05  9.999992e-01  -1.385542e+10 -2.669638e-05  -4.887397e-05  
8.246690e-05 7.421456e+05 7.421462e+05  9.999992e-01  -1.349899e+10 -2.720896e-05  -4.945921e-05  
8.333109e-05 7.306309e+05 7.306315e+05  9.999992e-01  -1.315173e+10 -2.772742e-05  -5.005020e-05  
8.420434e-05 7.192947e+05 7.192954e+05  9.999991e-01  -1.281340e+10 -2.825256e-05  -5.064641e-05  
8.508674e-05 7.081345e+05 7.081351e+05  9.999991e-01  -1.248377e+10 -2.878321e-05  -5.124887e-05  
8.597838e-05 6.971474e+05 6.971481e+05  9.999991e-01  -1.216262e+10 -2.932108e-05  -5.185637e-05  
8.687937e-05 6.863309e+05 6.863315e+05  9.999991e-01  -1.184974e+10 -2.986465e-05  -5.247018e-05  
8.778981e-05 6.756821e+05 6.756827e+05  9.999991e-01  -1.154490e+10 -3.041499e-05  -5.308962e-05  
8.870978e-05 6.651985e+05 6.651992e+05  9.999990e-01  -1.124791e+10 -3.097171e-05  -5.371509e-05  
8.963939e-05 6.548777e+05 6.548783e+05  9.999990e-01  -1.095855e+10 -3.153478e-05  -5.434673e-05  
9.057875e-05 6.447169e+05 6.447176e+05  9.999990e-01  -1.067664e+10 -3.210490e-05  -5.498413e-05  
9.152795e-05 6.347138e+05 6.347144e+05  9.999990e-01  -1.040198e+10 -3.268099e-05  -5.562822e-05  
9.248709e-05 6.248659e+05 6.248665e+05  9.999989e-01  -1.013439e+10 -3.326473e-05  -5.627787e-05  
9.345629e-05 6.151708e+05 6.151714e+05  9.999989e-01  -9.873682e+09 -3.385461e-05  -5.693432e-05  
9.443564e-05 6.056261e+05 6.056268e+05  9.999989e-01  -9.619679e+09 -3.445172e-05  -5.759689e-05  
9.542526e-05 5.962295e+05 5.962302e+05  9.999989e-01  -9.372211e+09 -3.505564e-05  -5.826600e-05  
9.642524e-05 5.869787e+05 5.869794e+05  9.999989e-01  -9.131110e+09 -3.566641e-05  -5.894175e-05  
9.743571e-05 5.778714e+05 5.778721e+05  9.999988e-01  -8.896210e+09 -3.628464e-05  -5.962383e-05  
9.845676e-05 5.689055e+05 5.689061e+05  9.999988e-01  -8.667354e+09 -3.690935e-05  -6.031305e-05  
9.948852e-05 5.600786e+05 5.600793e+05  9.999987e-01  -8.444385e+09 -3.754215e-05  -6.100841e-05  
1.005311e-04 5.513887e+05 5.513894e+05  9.999988e-01  -8.227152e+09 -3.818158e-05  -6.171106e-05  
1.015846e-04 5.428336e+05 5.428343e+05  9.999987e-01  -8.015507e+09 -3.882874e-05  -6.242036e-05  
1.026491e-04 5.344113e+05 5.344120e+05  9.999987e-01  -7.809306e+09 -3.948318e-05  -6.313674e-05  
1.037248e-04 5.261196e+05 5.261203e+05  9.999987e-01  -7.608411e+09 -4.014500e-05  -6.386027e-05  
1.048118e-04 5.179566e+05 5.179573e+05  9.999986e-01  -7.412683e+09 -4.081473e-05  -6.459072e-05  
1.059101e-04 5.099203e+05 5.099210e+05  9.999986e-01  -7.221991e+09 -4.149151e-05  -6.532880e-05  
1.070200e-04 5.020086e+05 5.020093e+05  9.999985e-01  -7.036204e+09 -4.217682e-05  -6.607363e-05  
1.081415e-04 4.942197e+05 4.942204e+05  9.999986e-01  -6.855196e+09 -4.286932e-05  -6.682627e-05  
1.092747e-04 4.865516e+05 4.865523e+05  9.999985e-01  -6.678845e+09 -4.357008e-05  -6.758612e-05  
1.104198e-04 4.790025e+05 4.790032e+05  9.999985e-01  -6.507031e+09 -4.427862e-05  -6.835363e-05  
1.115769e-04 4.715705e+05 4.715712e+05  9.999985e-01  -6.339636e+09 -4.499512e-05  -6.912884e-05  
1.127462e-04 4.642538e+05 4.642546e+05  9.999984e-01  -6.176548e+09 -4.572002e-05  -6.991157e-05  
1.139277e-04 4.570507e+05 4.570515e+05  9.999984e-01  -6.017655e+09 -4.645258e-05  -7.070246e-05  
1.151216e-04 4.499593e+05 4.499601e+05  9.999983e-01  -5.862850e+09 -4.719416e-05  -7.150076e-05  
1.163279e-04 4.429780e+05 4.429787e+05  9.999983e-01  -5.712027e+09 -4.794351e-05  -7.230743e-05  
1.175470e-04 4.361049e+05 4.361057e+05  9.999983e-01  -5.565084e+09 -4.870170e-05  -7.312190e-05  
1.187788e-04 4.293386e+05 4.293393e+05  9.999982e-01  -5.421922e+09 -4.946823e-05  -7.394465e-05  
1.200235e-04 4.226772e+05 4.226779e+05  9.999982e-01  -5.282442e+09 -5.024332e-05  -7.477568e-05  
1.212813e-04 4.161191e+05 4.161199e+05  9.999982e-01  -5.146550e+09 -5.102736e-05  -7.561489e-05  
1.225522e-04 4.096628e+05 4.096636e+05  9.999982e-01  -5.014154e+09 -5.181971e-05  -7.646283e-05  
1.238364e-04 4.033067e+05 4.033074e+05  9.999981e-01  -4.885164e+09 -5.262161e-05  -7.731886e-05  
1.251342e-04 3.970492e+05 3.970499e+05  9.999981e-01  -4.759492e+09 -5.343191e-05  -7.818386e-05  
1.264455e-04 3.908887e+05 3.908895e+05  9.999980e-01  -4.637054e+09 -5.425168e-05  -7.905730e-05  
1.277705e-04 3.848239e+05 3.848247e+05  9.999980e-01  -4.517765e+09 -5.508038e-05  -7.993968e-05  
1.291095e-04 3.788532e+05 3.788539e+05  9.999980e-01  -4.401544e+09 -5.591831e-05  -8.083097e-05  
1.304624e-04 3.729750e+05 3.729758e+05  9.999979e-01  -4.288314e+09 -5.676577e-05  -8.173112e-05  
1.318296e-04 3.671882e+05 3.671889e+05  9.999979e-01  -4.177996e+09 -5.762223e-05  -8.264063e-05  
1.332111e-04 3.614910e+05 3.614918e+05  9.999978e-01  -4.070517e+09 -5.848883e-05  -8.355894e-05  
1.346070e-04 3.558823e+05 3.558831e+05  9.999978e-01  -3.965802e+09 -5.936451e-05  -8.448688e-05  
1.360176e-04 3.503606e+05 3.503614e+05  9.999978e-01  -3.863781e+09 -6.025032e-05  -8.542395e-05  
1.374430e-04 3.449246e+05 3.449254e+05  9.999977e-01  -3.764385e+09 -6.114572e-05  -8.637065e-05  
1.388833e-04 3.395729e+05 3.395737e+05  9.999977e-01  -3.667545e+09 -6.205104e-05  -8.732693e-05  
1.403387e-04 3.343042e+05 3.343050e+05  9.999976e-01  -3.573197e+09 -6.296655e-05  -8.829281e-05  
1.418093e-04 3.291173e+05 3.291181e+05  9.999976e-01  -3.481276e+09 -6.389178e-05  -8.926873e-05  
